Proof baseline: 15fe03fbd72e478601660067065fea711ce17552
Format: PIN|declaration|uses Classical.choice|native owners|unexpected axioms
The last field is empty for all 46 declarations.

PIN|Zcash.Snark.ZeroKnowledge.drawGeneratorTape|false||
PIN|Zcash.Snark.ZeroKnowledge.drawGeneratorTape_state|false||
PIN|Zcash.Snark.ZeroKnowledge.drawGeneratorTape_at|false||
PIN|Zcash.Snark.ZeroKnowledge.drawGeneratorTape_cast|false||
PIN|Zcash.Snark.ZeroKnowledge.drawGeneratorBlocks|false||
PIN|Zcash.Snark.ZeroKnowledge.drawGeneratorBlocks_state|false||
PIN|Zcash.Snark.ZeroKnowledge.drawGeneratorBlocks_at|false||
PIN|Zcash.Snark.ZeroKnowledge.runGeneratedCoinRetries|false||
PIN|Zcash.Snark.ZeroKnowledge.runGeneratedCoinRetries_replay|false||
PIN|Zcash.Snark.ZeroKnowledge.runGeneratedCoinRetries_state|false||
PIN|Zcash.Snark.ZeroKnowledge.runGeneratedCoinRetries_length_le|false||
PIN|Zcash.Snark.ZeroKnowledge.runGeneratedCoinRetries_word_state|false||
PIN|Zcash.Snark.ZeroKnowledge.zip_ofFn_pair|false||
PIN|Zcash.Snark.ZeroKnowledge.runStatefulRetries_map|false||
PIN|Zcash.Snark.ZeroKnowledge.independentTapeLaw_toList|true||
PIN|Zcash.Snark.ZeroKnowledge.retryAttemptTape_map|true||
PIN|Zcash.Snark.ZeroKnowledge.uniformRetryTape_source_law|true||
PIN|Zcash.Snark.ZeroKnowledge.uniformRetryTape_source_map_law|true||
PIN|Zcash.Snark.ZeroKnowledge.RawPrivateRetryTape|false||
PIN|Zcash.Snark.ZeroKnowledge.OracleReplyRetryTape|false||
PIN|Zcash.Snark.ZeroKnowledge.actionRawOracleTape|true||
PIN|Zcash.Snark.ZeroKnowledge.actionRawOracleTape_law|true||
PIN|Zcash.Snark.ZeroKnowledge.actionOracleRetriesFromRawTapes|true|CompElliptic.Curves.Pasta.Pallas.q_nsmul_Gpt,CompElliptic.Curves.Pasta.Vesta.p_nsmul_Gpt|
PIN|Zcash.Snark.ZeroKnowledge.actionOracleRetriesFromSource|true|CompElliptic.Curves.Pasta.Pallas.q_nsmul_Gpt,CompElliptic.Curves.Pasta.Vesta.p_nsmul_Gpt|
PIN|Zcash.Snark.ZeroKnowledge.actionOracleRetriesFromSource_uniform|true|CompElliptic.Curves.Pasta.Pallas.q_nsmul_Gpt,CompElliptic.Curves.Pasta.Vesta.p_nsmul_Gpt|
PIN|Zcash.Snark.ZeroKnowledge.actionGeneratorRetryTape|false||
PIN|Zcash.Snark.ZeroKnowledge.actionGeneratedOracleRetries|true|CompElliptic.Curves.Pasta.Pallas.q_nsmul_Gpt,CompElliptic.Curves.Pasta.Vesta.p_nsmul_Gpt|
PIN|Zcash.Snark.ZeroKnowledge.actionGeneratedOracleRetries_replay|true|CompElliptic.Curves.Pasta.Pallas.q_nsmul_Gpt,CompElliptic.Curves.Pasta.Vesta.p_nsmul_Gpt|
PIN|Zcash.Snark.ZeroKnowledge.actionGeneratedOracleRetries_state|true|CompElliptic.Curves.Pasta.Pallas.q_nsmul_Gpt,CompElliptic.Curves.Pasta.Vesta.p_nsmul_Gpt|
PIN|Zcash.Snark.ZeroKnowledge.actionGeneratorRetryTape_at|false||
PIN|Zcash.Snark.ZeroKnowledge.actionGeneratedOracleRetries_source_law|true|CompElliptic.Curves.Pasta.Pallas.q_nsmul_Gpt,CompElliptic.Curves.Pasta.Vesta.p_nsmul_Gpt|
PIN|Zcash.Snark.ZeroKnowledge.actionGeneratedOracleRetries_word_budget|true|CompElliptic.Curves.Pasta.Pallas.q_nsmul_Gpt,CompElliptic.Curves.Pasta.Vesta.p_nsmul_Gpt|
PIN|Zcash.Snark.ZeroKnowledge.actionOracleRetrySourceContinuation|true|CompElliptic.Curves.Pasta.Pallas.q_nsmul_Gpt,CompElliptic.Curves.Pasta.Vesta.p_nsmul_Gpt|
