Proof baseline: 98bfd0963b4b5b986a48863f9cd31015c3fdade2
Format: PIN|declaration|uses Classical.choice|native owners|unexpected axioms

PIN|Zcash.Snark.ZeroKnowledge.byteListEqCosted|false||
PIN|Zcash.Snark.ZeroKnowledge.byteListEqCosted_result|false||
PIN|Zcash.Snark.ZeroKnowledge.byteListEqCosted_cost_le|true||
PIN|Zcash.Snark.ZeroKnowledge.transcriptAddressEqCosted|false||
PIN|Zcash.Snark.ZeroKnowledge.transcriptAddressEqCosted_result|false||
PIN|Zcash.Snark.ZeroKnowledge.transcriptAddressEqCosted_cost_le|true||
PIN|Zcash.Snark.ZeroKnowledge.oracleCacheLookupCosted|false||
PIN|Zcash.Snark.ZeroKnowledge.oracleCacheLookupCosted_result|false||
PIN|Zcash.Snark.ZeroKnowledge.oracleCacheLookupCosted_cost_le|true||
PIN|Zcash.Snark.ZeroKnowledge.programOracleTraceCosted|false||
PIN|Zcash.Snark.ZeroKnowledge.programOracleTraceCosted_result|false||
PIN|Zcash.Snark.ZeroKnowledge.programOracleTraceCosted_cost_le_capacity|true||
PIN|Zcash.Snark.ZeroKnowledge.programOracleTraceCosted_cost_le|true||
PIN|Zcash.Snark.ZeroKnowledge.programOracleTraceCosted_cost_le_budget|true||
PIN|Zcash.Snark.ZeroKnowledge.programOracleViewCosted|false||
PIN|Zcash.Snark.ZeroKnowledge.programOracleViewCosted_result|false||
PIN|Zcash.Snark.ZeroKnowledge.programOracleViewCosted_cost_le|true||
PIN|Zcash.Snark.ZeroKnowledge.transcriptElementBytes_length_le|true||
PIN|Zcash.Snark.ZeroKnowledge.transcriptBytes_length_le|true||
PIN|Zcash.Snark.ZeroKnowledge.protocolQueryPrefix_length_le|false||
PIN|Zcash.Snark.ZeroKnowledge.protocolQueryAddress_bytes_le|true||
PIN|Zcash.Snark.ZeroKnowledge.protocolOracleView_query_bytes_le|true||
PIN|Zcash.Snark.ZeroKnowledge.length_flatten_ofFn_le|true||
PIN|Zcash.Snark.ZeroKnowledge.plonkPreIpaTranscript_length_le|true||
PIN|Zcash.Snark.ZeroKnowledge.plonkAttemptTrace_length_le|true||
PIN|Zcash.Snark.ZeroKnowledge.plonkQueryAddress_bytes_le|true||
PIN|Zcash.Snark.ZeroKnowledge.protocolOracleView_programming_cost_le|true||
PIN|Zcash.Snark.ZeroKnowledge.plonkRawOracleView_programming_cost_le|true||
PIN|Zcash.Snark.ZeroKnowledge.actionOracleInitial_length|true|CompElliptic.Curves.Pasta.Pallas.q_nsmul_Gpt,CompElliptic.Curves.Pasta.Vesta.p_nsmul_Gpt|
PIN|Zcash.Snark.ZeroKnowledge.actionQueryAddress_bytes_le|true|CompElliptic.Curves.Pasta.Pallas.q_nsmul_Gpt,CompElliptic.Curves.Pasta.Vesta.p_nsmul_Gpt|
PIN|Zcash.Snark.ZeroKnowledge.actionOracleView_programming_cost_le|true|CompElliptic.Curves.Pasta.Pallas.q_nsmul_Gpt,CompElliptic.Curves.Pasta.Vesta.p_nsmul_Gpt|
